------------------------------base_skill  基本技能----------------
shenghuo_shengong---- 圣火神功
Shenghuo_lingfa------ 圣火令法
shenghuo_ling-------- 圣火令法
shigu_bifa----------- 梅花石鼓点穴笔法
qishang_quan--------- 七伤拳
qingfu_shenfa-------- 青蝠身法
qiankundanuoyi------- 乾坤大挪移
jiuyang_shengong----- 九阳神功
hanbing_zhang-------- 寒冰绵掌
hanbing_strike------- 烈焰寒冰掌
duoming_jinhua------- 夺命金花

--------------------------------quanzhen 全真----------------------
zuoyou_boji-------- 左右搏击之术
xiantian_qigong---- 先天气功
xiantian_gong------ 先天神功
quanzhen_jianfa---- 全真剑法
quanzhen_jian------ 全真剑法
kongming_quan------ 空明拳
jinyua_gong-------- 夺命金花
haotian_zhang------ 夺命金花
duanyun_fu--------- 断云斧
duanyun_bian------- 断云鞭法

--------------------------------shenlong 神龙----------------------
yixingbu----------- 意形步法
shenlong_xinfa----- 神龙心法
shenlong_bashi----- 神龙八式
shedao_qigong------ 蛇岛气功
huagu_mianzhang---- 化骨绵掌

----------------------------taohuadao 桃花岛----------------------
yuxiao_jianfa-------- 玉萧剑法
xuanfeng_leg--------- 旋风扫叶腿
tanzhi_shentong------ 弹指神通
qimen_wuxing--------- 化骨绵掌
luoying_zhang-------- 落英神剑掌
luoying_xinfa-------- 落英心法
luoying_shenzhang---- 落英神掌
luoying_shenjian----- 落英神剑
lanhua_shou---------- 兰花拂穴手
count---------------- 阴阳八卦
bibo_shengong-------- 碧波神功

-----------------------------wudang  武当----------------------
wudang_jian------- 武当剑法
tiyunzong--------- 梯云纵
taiji_shengong---- 太极神功
taiji_quan-------- 太极拳
taiji_jian-------- 太极剑
taiji_dao--------- 太极刀
liangyi_jian------ 两仪剑法

------------------------------wudu 五毒----------------------
wudu_zhang--------- 五毒掌
wudu_xinfa--------- 五毒心法
wudu_shenzhang----- 五毒神掌
wudu_shengong------ 五毒神功
wudu_bian---------- 五毒鞭法
guimei_shenfa------ 鬼魅身法（五毒教）

-------------------------------xiaoyao  逍遥----------------------
xiaoyao_jian-------- 逍遥剑法
xiaoyao_dao--------- 逍遥刀法
xiaoyao_bu---------- 逍遥步
lingboweibu--------- 凌波微步
beiming_shengong---- 北冥神功
bahuang_gong-------- 八荒六合唯我独尊功

--------------------------------xingxiu 星宿----------------------
zhaixinggong-------- 摘星功
xingxiu_duzhang----- 星宿毒掌
tianshan_zhang------ 天山杖法
sanyin_wugongzhao--- 三阴蜈蚣抓
poison-------------- 基本毒技
huagong_dafa-------- 化功大法
feixing_shu--------- 飞星术
chousui_duzhang----- 抽髓掌

--------------------------------xueshan 雪山----------------------
yujiamu_quan------- 金刚瑜迦母拳
xuedao_xinfa------- 雪刀心法
xue_dao------------ 血刀
xiaowuxiang-------- 小无相功
shenkong_xing------ 身空行
riyue_lun---------- 日月轮法
mizong_xinfa------- 密宗心法
mingwang_jian------ 冥王剑
longxiang---------- 龙象般若功
lamaism------------ 密宗心法
huoyan_dao--------- 火焰刀
dashou_yin--------- 密宗大手印

------------------------------yunlong 云龙----------------------
yunlong_zhua------- 云龙爪
yunlong_xinfa------ 云龙心法
yunlong_shou------- 云龙手
yunlong_shengong--- 云龙神功
yunlong_shenfa----- 云龙身法
yunlong_jian------- 云龙剑
yunlong_bian------- 云龙鞭法
